Entry,Entry Name,Protein names,Gene Names,Gene Ontology (GO)
Q9BRQ5,ORAI3_HUMAN,Protein orai-3 (Transmembrane protein 142C),ORAI3 TMEM142C,membrane [GO:0016020]; plasma membrane [GO:0005886]; store-operated calcium channel activity [GO:0015279]; store-operated calcium entry [GO:0002115]
Q9BT67,NFIP1_HUMAN,NEDD4 family-interacting protein 1 (Breast cancer-associated protein SGA-1M) (NEDD4 WW domain-binding protein 5) (Putative MAPK-activating protein PM13) (Putative NF-kappa-B-activating protein 164) (Putative NFKB and MAPK-activating protein),NDFIP1 N4WBP5 PSEC0192 PSEC0223,"cell cortex [GO:0005938]; dendrite [GO:0030425]; endoplasmic reticulum [GO:0005783]; endosome membrane [GO:0010008]; extracellular region [GO:0005576]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; perinuclear region of cytoplasm [GO:0048471]; synapse [GO:0045202]; WW domain binding [GO:0050699]; CD4-positive, alpha-beta T cell proliferation [GO:0035739]; intracellular iron ion homeostasis [GO:0006879]; metal ion transport [GO:0030001]; negative regulation of CD4-positive, alpha-beta T cell proliferation [GO:2000562]; negative regulation of gene expression [GO:0010629]; negative regulation of inflammatory response [GO:0050728]; negative regulation of interleukin-4 production [GO:0032713]; negative regulation of isotype switching to IgE isotypes [GO:0048294]; negative regulation of protein transport [GO:0051224]; negative regulation of transporter activity [GO:0032410]; negative regulation of type 2 immune response [GO:0002829]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of protein ubiquitination [GO:0031398]; regulation of isotype switching to IgG isotypes [GO:0048302]; regulation of lymphocyte differentiation [GO:0045619]; regulation of myeloid leukocyte differentiation [GO:0002761]; ubiquitin-dependent protein catabolic process [GO:0006511]; vacuolar transport [GO:0007034]"
Q9BT88,SYT11_HUMAN,Synaptotagmin-11 (Synaptotagmin XI) (SytXI),SYT11 KIAA0080,axon [GO:0030424]; clathrin-coated vesicle membrane [GO:0030665]; dendrite [GO:0030425]; dendritic spine [GO:0043197]; dopaminergic synapse [GO:0098691]; early phagosome [GO:0032009]; excitatory synapse [GO:0060076]; exocytic vesicle [GO:0070382]; inhibitory synapse [GO:0060077]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; neuron projection [GO:0043005]; perikaryon [GO:0043204]; phagocytic cup [GO:0001891]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; presynapse [GO:0098793]; presynaptic active zone membrane [GO:0048787]; recycling endosome [GO:0055037]; recycling endosome membrane [GO:0055038]; synapse [GO:0045202]; synaptic vesicle [GO:0008021]; trans-Golgi network [GO:0005802]; vesicle [GO:0031982]; beta-tubulin binding [GO:0048487]; calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]; clathrin binding [GO:0030276]; identical protein binding [GO:0042802]; phosphatidylserine binding [GO:0001786]; SNARE binding [GO:0000149]; translation initiation factor binding [GO:0031369]; ubiquitin protein ligase binding [GO:0031625]; autophagy [GO:0006914]; calcium ion regulated lysosome exocytosis [GO:1990927]; calcium ion-regulated exocytosis of neurotransmitter [GO:0048791]; establishment of vesicle localization [GO:0051650]; learning [GO:0007612]; memory [GO:0007613]; negative regulation of cytokine production [GO:0001818]; negative regulation of dopamine secretion [GO:0033602]; negative regulation of endocytosis [GO:0045806]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of microglial cell activation [GO:1903979]; negative regulation of neurotransmitter secretion [GO:0046929]; negative regulation of phagocytosis [GO:0050765]; negative regulation of tumor necrosis factor production [GO:0032720]; plasma membrane repair [GO:0001778]; positive regulation of protein localization to phagocytic vesicle [GO:1905171]; regulation of defense response to bacterium [GO:1900424]; regulation of phagosome maturation [GO:1905162]; regulation of synaptic vesicle endocytosis [GO:1900242]; vesicle fusion [GO:0006906]
Q9BTP0,Q9BTP0_HUMAN,Protein Wnt,,extracellular space [GO:0005615]; cytokine activity [GO:0005125]; frizzled binding [GO:0005109]; canonical Wnt signaling pathway [GO:0060070]; cell fate commitment [GO:0045165]; neuron differentiation [GO:0030182]
Q9BUA0,Q9BUA0_HUMAN,"Interferon (Alpha, beta and omega) receptor 2",IFNAR2,membrane [GO:0016020]; interleukin-22 receptor activity [GO:0042018]; type I interferon receptor activity [GO:0004905]
Q9BUD6,SPON2_HUMAN,Spondin-2 (Differentially expressed in cancerous and non-cancerous lung cells 1) (DIL-1) (Mindin),SPON2 DIL1 UNQ435/PRO866,extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; antigen binding [GO:0003823]; lipopolysaccharide binding [GO:0001530]; metal ion binding [GO:0046872]; cell adhesion [GO:0007155]; cellular response to lipopolysaccharide [GO:0071222]; defense response to fungus [GO:0050832]; defense response to virus [GO:0051607]; induction of bacterial agglutination [GO:0043152]; innate immune response [GO:0045087]; mast cell mediated immunity [GO:0002448]; opsonization [GO:0008228]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of macrophage cytokine production [GO:0060907]; positive regulation of tumor necrosis factor production [GO:0032760]
Q9BWS9,CHID1_HUMAN,Chitinase domain-containing protein 1 (Stabilin-1-interacting chitinase-like protein) (SI-CLP),CHID1 GL008 PSEC0104 SB139,endomembrane system [GO:0012505]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; late endosome [GO:0005770]; lysosomal lumen [GO:0043202]; lysosome [GO:0005764]; membrane [GO:0016020]; nucleus [GO:0005634]; trans-Golgi network [GO:0005802]; chitin binding [GO:0008061]; oligosaccharide binding [GO:0070492]; carbohydrate metabolic process [GO:0005975]; innate immune response [GO:0045087]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]
Q9BXB1,LGR4_HUMAN,Leucine-rich repeat-containing G-protein coupled receptor 4 (G-protein coupled receptor 48),LGR4 GPR48,plasma membrane [GO:0005886]; G protein-coupled peptide receptor activity [GO:0008528]; G protein-coupled receptor activity [GO:0004930]; protein-hormone receptor activity [GO:0016500]; transmembrane signaling receptor activity [GO:0004888]; adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; bone mineralization [GO:0030282]; bone remodeling [GO:0046849]; circadian regulation of gene expression [GO:0032922]; digestive tract development [GO:0048565]; epithelial cell proliferation involved in renal tubule morphogenesis [GO:2001013]; hair follicle development [GO:0001942]; innate immune response [GO:0045087]; intestinal stem cell homeostasis [GO:0036335]; male genitalia development [GO:0030539]; metanephric glomerulus development [GO:0072224]; metanephric nephron tubule morphogenesis [GO:0072282]; negative regulation of cold-induced thermogenesis [GO:0120163]; negative regulation of cytokine production [GO:0001818]; negative regulation of toll-like receptor signaling pathway [GO:0034122]; osteoblast differentiation [GO:0001649]; positive regulation of branching involved in ureteric bud morphogenesis [GO:0090190]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; spermatogenesis [GO:0007283]; Wnt signaling pathway [GO:0016055]
Q9BXC1,GP174_HUMAN,Probable G-protein coupled receptor 174,GPR174 FKSG79 GPCR17,centriolar satellite [GO:0034451]; intracellular membrane-bounded organelle [GO:0043231]; plasma membrane [GO:0005886]; bioactive lipid receptor activity [GO:0045125]; G protein-coupled receptor activity [GO:0004930]; negative regulation of interleukin-2 production [GO:0032703]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; positive regulation of Rho protein signal transduction [GO:0035025]; T cell homeostasis [GO:0043029]
Q9BXJ3,C1QT4_HUMAN,Complement C1q tumor necrosis factor-related protein 4 (C1q/TNF-related protein 4),C1QTNF4 CTRP4,extracellular space [GO:0005615]; cytokine activity [GO:0005125]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of interleukin-6-mediated signaling pathway [GO:0070105]; positive regulation of non-canonical NF-kappaB signal transduction [GO:1901224]; positive regulation of tumor necrosis factor production [GO:0032760]
Q9BXJ4,C1QT3_HUMAN,Complement C1q tumor necrosis factor-related protein 3 (Collagenous repeat-containing sequence 26 kDa protein) (CORS26) (Secretory protein CORS26),C1QTNF3 CTRP3 UNQ753/PRO1484,collagen trimer [GO:0005581]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; membrane [GO:0016020]; identical protein binding [GO:0042802]; fat cell differentiation [GO:0045444]; intracellular triglyceride homeostasis [GO:0035356]; negative regulation of gene expression [GO:0010629]; negative regulation of gluconeogenesis [GO:0045721]; negative regulation of inflammatory response [GO:0050728]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of monocyte chemotactic protein-1 production [GO:0071638]; negative regulation of non-canonical NF-kappaB signal transduction [GO:1901223]; positive regulation of adiponectin secretion [GO:0070165]; positive regulation of cytokine production [GO:0001819]
Q9BXN2,CLC7A_HUMAN,C-type lectin domain family 7 member A (Beta-glucan receptor) (C-type lectin superfamily member 12) (Dendritic cell-associated C-type lectin 1) (DC-associated C-type lectin 1) (Dectin-1) (CD antigen CD369),CLEC7A BGR CLECSF12 DECTIN1 UNQ539/PRO1082,"cell surface [GO:0009986]; cytoplasm [GO:0005737]; membrane [GO:0016020]; plasma membrane [GO:0005886]; (1->3)-beta-D-glucan binding [GO:0001872]; carbohydrate binding [GO:0030246]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; MHC protein binding [GO:0042287]; pattern recognition receptor activity [GO:0038187]; antifungal innate immune response [GO:0061760]; carbohydrate mediated signaling [GO:0009756]; cell activation [GO:0001775]; cell recognition [GO:0008037]; cellular response to molecule of fungal origin [GO:0071226]; defense response to protozoan [GO:0042832]; detection of fungus [GO:0016046]; detection of molecule of fungal origin [GO:0032491]; detection of yeast [GO:0001879]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; phagocytosis, recognition [GO:0006910]; positive regulation of calcium-mediated signaling [GO:0050850]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of cell maturation [GO:1903431]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of cytokine production involved in immune response [GO:0002720]; positive regulation of cytokine production involved in inflammatory response [GO:1900017]; positive regulation of dendritic cell cytokine production [GO:0002732]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of gene expression [GO:0010628]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of interleukin-12 production [GO:0032735]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of interleukin-23 production [GO:0032747]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of killing of cells of another organism [GO:0051712]; positive regulation of lymphocyte activation [GO:0051251]; positive regulation of monocyte chemotactic protein-1 production [GO:0071639]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; positive regulation of phagocytosis [GO:0050766]; positive regulation of protein-containing complex assembly [GO:0031334]; positive regulation of respiratory burst [GO:0060267]; positive regulation of superoxide anion generation [GO:0032930]; positive regulation of T-helper 17 type immune response [GO:2000318]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of type II interferon production [GO:0032729]; positive regulation of wound healing [GO:0090303]; regulation of calcineurin-NFAT signaling cascade [GO:0070884]; regulation of canonical NF-kappaB signal transduction [GO:0043122]; response to yeast [GO:0001878]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; T cell activation [GO:0042110]"
Q9BXQ0,Q9BXQ0_HUMAN,Tissue transglutaminase (EC 2.3.2.13),TGM2,ATP binding [GO:0005524]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; protein-glutamine gamma-glutamyltransferase activity [GO:0003810]; cAMP-mediated signaling [GO:0019933]; cytokine-mediated signaling pathway [GO:0019221]; G protein-coupled receptor signaling pathway [GO:0007186]; isopeptide cross-linking via N6-(L-isoglutamyl)-L-lysine [GO:0018153]; negative regulation of apoptotic process [GO:0043066]; programmed cell death [GO:0012501]
Q9BXR5,TLR10_HUMAN,Toll-like receptor 10 (CD antigen CD290),TLR10 UNQ315/PRO358,"membrane [GO:0016020]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; identical protein binding [GO:0042802]; lipopeptide binding [GO:0071723]; NAD+ nucleotidase, cyclic ADP-ribose generating [GO:0061809]; signaling receptor activity [GO:0038023]; Toll-like receptor 2 binding [GO:0035663]; transmembrane signaling receptor activity [GO:0004888]; cellular response to bacterial lipopeptide [GO:0071221]; immune response [GO:0006955]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; toll-like receptor signaling pathway [GO:0002224]"
Q9BXS9,S26A6_HUMAN,Solute carrier family 26 member 6 (Anion exchange transporter) (Pendrin-like protein 1) (Pendrin-L1),SLC26A6,apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; brush border membrane [GO:0031526]; chloride channel complex [GO:0034707]; cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; plasma membrane [GO:0005886]; sperm midpiece [GO:0097225]; vesicle [GO:0031982]; vesicle membrane [GO:0012506]; bicarbonate transmembrane transporter activity [GO:0015106]; chloride channel activity [GO:0005254]; chloride transmembrane transporter activity [GO:0015108]; chloride:bicarbonate antiporter activity [GO:0140900]; efflux transmembrane transporter activity [GO:0015562]; formate transmembrane transporter activity [GO:0015499]; identical protein binding [GO:0042802]; oxalate transmembrane transporter activity [GO:0019531]; PDZ domain binding [GO:0030165]; secondary active sulfate transmembrane transporter activity [GO:0008271]; solute:inorganic anion antiporter activity [GO:0005452]; sulfate transmembrane transporter activity [GO:0015116]; sulfate:bicarbonate antiporter activity [GO:0015383]; transferase activity [GO:0016740]; angiotensin-activated signaling pathway [GO:0038166]; bicarbonate transport [GO:0015701]; cellular response to cAMP [GO:0071320]; cellular response to fructose stimulus [GO:0071332]; cellular response to type II interferon [GO:0071346]; chloride transport [GO:0006821]; epithelial fluid transport [GO:0042045]; establishment of localization in cell [GO:0051649]; estrous cycle [GO:0044849]; formate transport [GO:0015724]; intestinal absorption [GO:0050892]; intracellular pH elevation [GO:0051454]; mannitol transmembrane transport [GO:0015797]; monoatomic ion transport [GO:0006811]; oxalate transport [GO:0019532]; oxalic acid secretion [GO:0046724]; positive regulation of dipeptide transmembrane transport [GO:2001150]; protein kinase C signaling [GO:0070528]; regulation of intracellular pH [GO:0051453]; sperm capacitation [GO:0048240]; sulfate transport [GO:0008272]; transepithelial chloride transport [GO:0030321]; transepithelial transport [GO:0070633]
Q9BY67,CADM1_HUMAN,Cell adhesion molecule 1 (Immunoglobulin superfamily member 4) (IgSF4) (Nectin-like protein 2) (NECL-2) (Spermatogenic immunoglobulin superfamily) (SgIgSF) (Synaptic cell adhesion molecule) (SynCAM) (Tumor suppressor in lung cancer 1) (TSLC-1),CADM1 IGSF4 IGSF4A NECL2 SYNCAM TSLC1,basolateral plasma membrane [GO:0016323]; cell-cell junction [GO:0005911]; dendrite [GO:0030425]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; synapse [GO:0045202]; cell adhesion molecule binding [GO:0050839]; PDZ domain binding [GO:0030165]; protein homodimerization activity [GO:0042803]; signaling receptor binding [GO:0005102]; apoptotic process [GO:0006915]; cell differentiation [GO:0030154]; cell recognition [GO:0008037]; detection of stimulus [GO:0051606]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; immune system process [GO:0002376]; liver development [GO:0001889]; negative regulation of ERBB4 signaling pathway [GO:0120154]; negative regulation of protein phosphorylation [GO:0001933]; positive regulation of cytokine production [GO:0001819]; positive regulation of natural killer cell mediated cytotoxicity [GO:0045954]; spermatogenesis [GO:0007283]; susceptibility to natural killer cell mediated cytotoxicity [GO:0042271]
Q9BY69,Q9BY69_HUMAN,Interferon-gamma receptor,,membrane [GO:0016020]; cytokine binding [GO:0019955]; cytokine receptor activity [GO:0004896]; type II interferon-mediated signaling pathway [GO:0060333]
Q9BYF1,ACE2_HUMAN,Angiotensin-converting enzyme 2 (EC 3.4.17.23) (Angiotensin-converting enzyme homolog) (ACEH) (Angiotensin-converting enzyme-related carboxypeptidase) (ACE-related carboxypeptidase) (EC 3.4.17.-) (Metalloprotease MPROT15) [Cleaved into: Processed angiotensin-converting enzyme 2],ACE2 UNQ868/PRO1885,apical plasma membrane [GO:0016324]; brush border membrane [GO:0031526]; cell surface [GO:0009986]; cilium [GO:0005929]; endocytic vesicle membrane [GO:0030666]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; membrane [GO:0016020]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; carboxypeptidase activity [GO:0004180]; endopeptidase activity [GO:0004175]; identical protein binding [GO:0042802]; metallocarboxypeptidase activity [GO:0004181]; metallopeptidase activity [GO:0008237]; peptidyl-dipeptidase activity [GO:0008241]; virus receptor activity [GO:0001618]; zinc ion binding [GO:0008270]; angiotensin maturation [GO:0002003]; angiotensin-mediated drinking behavior [GO:0003051]; blood vessel diameter maintenance [GO:0097746]; entry receptor-mediated virion attachment to host cell [GO:0098670]; maternal process involved in female pregnancy [GO:0060135]; membrane fusion [GO:0061025]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of signaling receptor activity [GO:2000272]; negative regulation of smooth muscle cell proliferation [GO:0048662]; positive regulation of amino acid transport [GO:0051957]; positive regulation of cardiac muscle contraction [GO:0060452]; positive regulation of gap junction assembly [GO:1903598]; positive regulation of L-proline import across plasma membrane [GO:1905737]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; receptor-mediated endocytosis of virus by host cell [GO:0019065]; receptor-mediated virion attachment to host cell [GO:0046813]; regulation of cardiac conduction [GO:1903779]; regulation of cell population proliferation [GO:0042127]; regulation of cytokine production [GO:0001817]; regulation of inflammatory response [GO:0050727]; regulation of systemic arterial blood pressure by renin-angiotensin [GO:0003081]; regulation of transmembrane transporter activity [GO:0022898]; regulation of vasoconstriction [GO:0019229]; symbiont entry into host cell [GO:0046718]; tryptophan transport [GO:0015827]; viral life cycle [GO:0019058]
Q9BYH8,IKBZ_HUMAN,NF-kappa-B inhibitor zeta (I-kappa-B-zeta) (IkB-zeta) (IkappaBzeta) (IL-1 inducible nuclear ankyrin-repeat protein) (INAP) (Molecule possessing ankyrin repeats induced by lipopolysaccharide) (MAIL),NFKBIZ IKBZ INAP MAIL,cytoplasmic ribonucleoprotein granule [GO:0036464]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; POU domain binding [GO:0070974]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription coregulator activity [GO:0003712]; B cell proliferation [GO:0042100]; B cell receptor apoptotic signaling pathway [GO:1990117]; cellular response to interleukin-17 [GO:0097398]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to transforming growth factor beta stimulus [GO:0071560]; chromatin remodeling [GO:0006338]; chronic inflammatory response [GO:0002544]; cytokine-mediated signaling pathway [GO:0019221]; defense response to Gram-negative bacterium [GO:0050829]; epithelial cell apoptotic process [GO:1904019]; establishment of skin barrier [GO:0061436]; execution phase of apoptosis [GO:0097194]; homeostasis of number of cells within a tissue [GO:0048873]; inflammatory response to wounding [GO:0090594]; isotype switching [GO:0045190]; keratinocyte activation [GO:0032980]; keratinocyte differentiation [GO:0030216]; keratinocyte proliferation [GO:0043616]; mRNA transcription by RNA polymerase II [GO:0042789]; plasma cell differentiation [GO:0002317]; positive regulation of inflammatory response [GO:0050729]; positive regulation of T-helper 17 cell differentiation [GO:2000321]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of gene expression [GO:0010468]; response to cisplatin [GO:0072718]; response to folic acid [GO:0051593]; response to Gram-positive bacterium [GO:0140459]; response to xenobiotic stimulus [GO:0009410]; spleen development [GO:0048536]; T cell mediated immunity [GO:0002456]; T cell receptor signaling pathway [GO:0050852]; T-helper 1 cell differentiation [GO:0045063]; T-helper 17 cell differentiation [GO:0072539]; toll-like receptor signaling pathway [GO:0002224]; transcription preinitiation complex assembly [GO:0070897]
Q9BYX4,IFIH1_HUMAN,Interferon-induced helicase C domain-containing protein 1 (EC 3.6.4.13) (Clinically amyopathic dermatomyositis autoantigen 140 kDa) (CADM-140 autoantigen) (Helicase with 2 CARD domains) (Helicard) (Interferon-induced with helicase C domain protein 1) (Melanoma differentiation-associated protein 5) (MDA-5) (Murabutide down-regulated protein) (RIG-I-like receptor 2) (RLR-2) (RNA helicase-DEAD box protein 116),IFIH1 MDA5 RH116,cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; double-stranded RNA binding [GO:0003725]; identical protein binding [GO:0042802]; pattern recognition receptor activity [GO:0038187]; ribonucleoprotein complex binding [GO:0043021]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; single-stranded RNA binding [GO:0003727]; zinc ion binding [GO:0008270]; antiviral innate immune response [GO:0140374]; cellular response to exogenous dsRNA [GO:0071360]; cellular response to virus [GO:0098586]; cytoplasmic pattern recognition receptor signaling pathway [GO:0002753]; defense response to virus [GO:0051607]; detection of virus [GO:0009597]; innate immune response [GO:0045087]; MDA-5 signaling pathway [GO:0039530]; negative regulation of viral genome replication [GO:0045071]; positive regulation of interferon-alpha production [GO:0032727]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of response to cytokine stimulus [GO:0060760]; positive regulation of tumor necrosis factor production [GO:0032760]; protein complex oligomerization [GO:0051259]; protein sumoylation [GO:0016925]; regulation of type III interferon production [GO:0034344]; response to virus [GO:0009615]; type I interferon-mediated signaling pathway [GO:0060337]
Q9BZL6,KPCD2_HUMAN,Serine/threonine-protein kinase D2 (EC 2.7.11.13) (nPKC-D2),PRKD2 PKD2 HSPC187,cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein kinase C binding [GO:0005080]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; adaptive immune response [GO:0002250]; angiogenesis [GO:0001525]; cell adhesion [GO:0007155]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; endothelial tube morphogenesis [GO:0061154]; intracellular signal transduction [GO:0035556]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; positive regulation of angiogenesis [GO:0045766]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of cell adhesion [GO:0045785]; positive regulation of DNA biosynthetic process [GO:2000573]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of endothelial cell chemotaxis [GO:2001028]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of fibroblast growth factor receptor signaling pathway [GO:0045743]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of T cell receptor signaling pathway [GO:0050862]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of vascular endothelial growth factor receptor signaling pathway [GO:0030949]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of T cell apoptotic process [GO:0070232]; sphingolipid biosynthetic process [GO:0030148]; T cell receptor signaling pathway [GO:0050852]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]
Q9BZS1,FOXP3_HUMAN,"Forkhead box protein P3 (Scurfin) [Cleaved into: Forkhead box protein P3, C-terminally processed; Forkhead box protein P3 41 kDa form]",FOXP3 IPEX JM2,"chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; histone acetyltransferase binding [GO:0035035]; histone deacetylase binding [GO:0042826]; metal ion binding [GO:0046872]; NF-kappaB binding [GO:0051059]; NFAT protein binding [GO:0051525]; protein homodimerization activity [GO:0042803]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription corepressor activity [GO:0003714]; B cell homeostasis [GO:0001782]; CD4-positive, alpha-beta T cell proliferation [GO:0035739]; CD4-positive, CD25-positive, alpha-beta regulatory T cell lineage commitment [GO:0002362]; chromatin remodeling [GO:0006338]; establishment of endothelial blood-brain barrier [GO:0014045]; immature T cell proliferation in thymus [GO:0033080]; inflammatory response [GO:0006954]; isotype switching to IgE isotypes [GO:0048289]; myeloid cell homeostasis [GO:0002262]; negative regulation of activated T cell proliferation [GO:0046007]; negative regulation of CD4-positive, alpha-beta T cell proliferation [GO:2000562]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of chronic inflammatory response [GO:0002677]; negative regulation of CREB transcription factor activity [GO:0032792]; negative regulation of cytokine production [GO:0001818]; negative regulation of defense response to virus [GO:0050687]; negative regulation of DNA-binding transcription factor activity [GO:0043433]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of immune response [GO:0050777]; negative regulation of interleukin-10 production [GO:0032693]; negative regulation of interleukin-17 production [GO:0032700]; negative regulation of interleukin-2 production [GO:0032703]; negative regulation of interleukin-4 production [GO:0032713]; negative regulation of interleukin-5 production [GO:0032714]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of isotype switching to IgE isotypes [GO:0048294]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of T cell cytokine production [GO:0002725]; negative regulation of T cell proliferation [GO:0042130]; negative regulation of T-helper 17 cell differentiation [GO:2000320]; negative regulation of tumor necrosis factor production [GO:0032720]; negative regulation of type II interferon production [GO:0032689]; positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation [GO:0032831]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of immature T cell proliferation in thymus [GO:0033092]; positive regulation of interleukin-4 production [GO:0032753]; positive regulation of peripheral T cell tolerance induction [GO:0002851]; positive regulation of regulatory T cell differentiation [GO:0045591]; positive regulation of T cell anergy [GO:0002669]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transforming growth factor beta1 production [GO:0032914]; regulation of DNA-templated transcription [GO:0006355]; regulation of isotype switching to IgG isotypes [GO:0048302]; regulation of T cell anergy [GO:0002667]; regulation of transcription by RNA polymerase II [GO:0006357]; regulatory T cell differentiation [GO:0045066]; response to lipopolysaccharide [GO:0032496]; response to rapamycin [GO:1901355]; response to virus [GO:0009615]; T cell activation [GO:0042110]; T cell anergy [GO:0002870]; T cell homeostasis [GO:0043029]; T cell mediated immunity [GO:0002456]; T cell receptor signaling pathway [GO:0050852]; tolerance induction to self antigen [GO:0002513]; transcription by RNA polymerase II [GO:0006366]; transforming growth factor beta1 production [GO:0032905]"
